Cases, Deaths, Recovered, Date
6826346,397415,3312913,2020-06-05 20:54:24
6826349,397415,3312914,2020-06-05 20:54:36
6826349,397415,3312914,2020-06-05 20:54:49
6826349,397415,3312914,2020-06-05 20:55:01
6826354,397415,3312914,2020-06-05 20:55:14
6826354,397415,3312914,2020-06-05 20:55:26
6826354,397415,3312914,2020-06-05 20:55:38
6826355,397415,3312914,2020-06-05 20:55:51
6826355,397415,3312914,2020-06-05 20:56:03
6826356,397415,3312914,2020-06-05 20:56:15
6826356,397415,3312914,2020-06-05 20:56:27
6826356,397415,3312914,2020-06-05 20:56:40
6826356,397415,3312914,2020-06-05 20:56:52
6826356,397415,3312914,2020-06-05 20:57:04
6826356,397415,3312914,2020-06-05 20:57:16
6826356,397415,3312914,2020-06-05 20:57:30
6826356,397415,3312914,2020-06-05 20:57:42
6826356,397415,3312914,2020-06-05 20:57:54
6826356,397415,3312914,2020-06-05 20:58:06
6826356,397415,3312914,2020-06-05 20:58:19
6826356,397415,3312914,2020-06-05 20:58:31
