Date_reported,Country,Cumulative_cases
2020-01-20T00:00:00Z,United States of America,1
2020-01-21T00:00:00Z,United States of America,1
2020-01-22T00:00:00Z,United States of America,1
2020-01-23T00:00:00Z,United States of America,1
2020-01-24T00:00:00Z,United States of America,2
2020-01-25T00:00:00Z,United States of America,2
2020-01-26T00:00:00Z,United States of America,5
2020-01-27T00:00:00Z,United States of America,5
2020-01-28T00:00:00Z,United States of America,5
2020-01-29T00:00:00Z,United States of America,5
2020-01-30T00:00:00Z,United States of America,6
2020-01-31T00:00:00Z,United States of America,7
2020-02-01T00:00:00Z,United States of America,8
2020-02-02T00:00:00Z,United States of America,8
2020-02-03T00:00:00Z,United States of America,11
2020-02-04T00:00:00Z,United States of America,11
2020-02-05T00:00:00Z,United States of America,11
2020-02-06T00:00:00Z,United States of America,12
2020-02-07T00:00:00Z,United States of America,12
2020-02-08T00:00:00Z,United States of America,12
2020-02-09T00:00:00Z,United States of America,12
2020-02-10T00:00:00Z,United States of America,12
2020-02-11T00:00:00Z,United States of America,13
2020-02-12T00:00:00Z,United States of America,13
2020-02-13T00:00:00Z,United States of America,15
2020-02-14T00:00:00Z,United States of America,15
2020-02-15T00:00:00Z,United States of America,15
2020-02-16T00:00:00Z,United States of America,15
2020-02-17T00:00:00Z,United States of America,15
2020-02-18T00:00:00Z,United States of America,15
2020-02-19T00:00:00Z,United States of America,15
2020-02-20T00:00:00Z,United States of America,15
2020-02-21T00:00:00Z,United States of America,34
2020-02-22T00:00:00Z,United States of America,35
2020-02-23T00:00:00Z,United States of America,35
2020-02-24T00:00:00Z,United States of America,53
2020-02-25T00:00:00Z,United States of America,53
2020-02-26T00:00:00Z,United States of America,59
2020-02-27T00:00:00Z,United States of America,59
2020-02-28T00:00:00Z,United States of America,62
2020-02-29T00:00:00Z,United States of America,62
2020-03-01T00:00:00Z,United States of America,62
2020-03-02T00:00:00Z,United States of America,64
2020-03-03T00:00:00Z,United States of America,108
2020-03-04T00:00:00Z,United States of America,129
2020-03-05T00:00:00Z,United States of America,148
2020-03-06T00:00:00Z,United States of America,213
2020-03-07T00:00:00Z,United States of America,213
2020-03-08T00:00:00Z,United States of America,213
2020-03-09T00:00:00Z,United States of America,472
2020-03-10T00:00:00Z,United States of America,696
2020-03-11T00:00:00Z,United States of America,696
2020-03-12T00:00:00Z,United States of America,987
2020-03-13T00:00:00Z,United States of America,1264
2020-03-14T00:00:00Z,United States of America,1678
2020-03-15T00:00:00Z,United States of America,1714
2020-03-16T00:00:00Z,United States of America,1714
2020-03-17T00:00:00Z,United States of America,3536
2020-03-18T00:00:00Z,United States of America,7087
2020-03-19T00:00:00Z,United States of America,10442
2020-03-20T00:00:00Z,United States of America,15219
2020-03-21T00:00:00Z,United States of America,15219
2020-03-22T00:00:00Z,United States of America,15219
2020-03-23T00:00:00Z,United States of America,31573
2020-03-24T00:00:00Z,United States of America,51914
2020-03-25T00:00:00Z,United States of America,51914
2020-03-26T00:00:00Z,United States of America,68334
2020-03-27T00:00:00Z,United States of America,68334
2020-03-28T00:00:00Z,United States of America,85228
2020-03-29T00:00:00Z,United States of America,103321
2020-03-30T00:00:00Z,United States of America,122653
2020-03-31T00:00:00Z,United States of America,140640
2020-04-01T00:00:00Z,United States of America,163199
2020-04-02T00:00:00Z,United States of America,187302
2020-04-03T00:00:00Z,United States of America,213600
2020-04-04T00:00:00Z,United States of America,241703
2020-04-05T00:00:00Z,United States of America,273808
2020-04-06T00:00:00Z,United States of America,307318
2020-04-07T00:00:00Z,United States of America,333811
2020-04-08T00:00:00Z,United States of America,363321
2020-04-09T00:00:00Z,United States of America,395030
2020-04-10T00:00:00Z,United States of America,425889
2020-04-11T00:00:00Z,United States of America,461275
2020-04-12T00:00:00Z,United States of America,492881
2020-04-13T00:00:00Z,United States of America,524514
2020-04-14T00:00:00Z,United States of America,553822
2020-04-15T00:00:00Z,United States of America,578268
2020-04-16T00:00:00Z,United States of America,604070
2020-04-17T00:00:00Z,United States of America,632781
2020-04-18T00:00:00Z,United States of America,665330
2020-04-19T00:00:00Z,United States of America,695353
2020-04-20T00:00:00Z,United States of America,723605
2020-04-21T00:00:00Z,United States of America,751273
2020-04-22T00:00:00Z,United States of America,776907
2020-04-23T00:00:00Z,United States of America,800926
2020-04-24T00:00:00Z,United States of America,830053
2020-04-25T00:00:00Z,United States of America,860772
2020-04-26T00:00:00Z,United States of America,899281
2020-04-27T00:00:00Z,United States of America,931698
2020-04-28T00:00:00Z,United States of America,960916
2020-04-29T00:00:00Z,United States of America,983457
2020-04-30T00:00:00Z,United States of America,1003974
2020-05-01T00:00:00Z,United States of America,1035353
2020-05-02T00:00:00Z,United States of America,1067127
2020-05-03T00:00:00Z,United States of America,1093880
2020-05-04T00:00:00Z,United States of America,1125719
2020-05-05T00:00:00Z,United States of America,1154985
2020-05-06T00:00:00Z,United States of America,1171185
2020-05-07T00:00:00Z,United States of America,1193452
2020-05-08T00:00:00Z,United States of America,1215571
2020-05-09T00:00:00Z,United States of America,1245775
2020-05-10T00:00:00Z,United States of America,1271645
2020-05-11T00:00:00Z,United States of America,1298287
2020-05-12T00:00:00Z,United States of America,1322054
2020-05-13T00:00:00Z,United States of America,1340098
2020-05-14T00:00:00Z,United States of America,1361522
2020-05-15T00:00:00Z,United States of America,1382362
2020-05-16T00:00:00Z,United States of America,1409452
2020-05-17T00:00:00Z,United States of America,1432265
2020-05-18T00:00:00Z,United States of America,1464232
2020-05-19T00:00:00Z,United States of America,1477459
2020-05-20T00:00:00Z,United States of America,1501876
2020-05-21T00:00:00Z,United States of America,1525186
2020-05-22T00:00:00Z,United States of America,1547973
2020-05-23T00:00:00Z,United States of America,1568448
2020-05-24T00:00:00Z,United States of America,1592599
2020-05-25T00:00:00Z,United States of America,1618757
2020-05-26T00:00:00Z,United States of America,1634010
2020-05-27T00:00:00Z,United States of America,1658896
2020-05-28T00:00:00Z,United States of America,1675258
2020-05-29T00:00:00Z,United States of America,1694864
2020-05-30T00:00:00Z,United States of America,1716078
2020-05-31T00:00:00Z,United States of America,1734040
2020-06-01T00:00:00Z,United States of America,1757522
2020-06-02T00:00:00Z,United States of America,1783638
2020-06-03T00:00:00Z,United States of America,1798330
2020-06-04T00:00:00Z,United States of America,1823220
2020-06-05T00:00:00Z,United States of America,1837803
2020-06-06T00:00:00Z,United States of America,1857872
2020-06-07T00:00:00Z,United States of America,1886794
2020-06-08T00:00:00Z,United States of America,1915712
