Date_reported,Country,Cumulative_cases
2020-02-26T00:00:00Z,Brazil,1
2020-02-27T00:00:00Z,Brazil,1
2020-02-28T00:00:00Z,Brazil,1
2020-02-29T00:00:00Z,Brazil,1
2020-03-01T00:00:00Z,Brazil,2
2020-03-02T00:00:00Z,Brazil,2
2020-03-03T00:00:00Z,Brazil,2
2020-03-04T00:00:00Z,Brazil,3
2020-03-05T00:00:00Z,Brazil,7
2020-03-06T00:00:00Z,Brazil,8
2020-03-07T00:00:00Z,Brazil,19
2020-03-08T00:00:00Z,Brazil,19
2020-03-09T00:00:00Z,Brazil,25
2020-03-10T00:00:00Z,Brazil,25
2020-03-11T00:00:00Z,Brazil,34
2020-03-12T00:00:00Z,Brazil,52
2020-03-13T00:00:00Z,Brazil,98
2020-03-14T00:00:00Z,Brazil,121
2020-03-15T00:00:00Z,Brazil,121
2020-03-16T00:00:00Z,Brazil,200
2020-03-17T00:00:00Z,Brazil,234
2020-03-18T00:00:00Z,Brazil,291
2020-03-19T00:00:00Z,Brazil,428
2020-03-20T00:00:00Z,Brazil,621
2020-03-21T00:00:00Z,Brazil,904
2020-03-22T00:00:00Z,Brazil,904
2020-03-23T00:00:00Z,Brazil,904
2020-03-24T00:00:00Z,Brazil,2201
2020-03-25T00:00:00Z,Brazil,2201
2020-03-26T00:00:00Z,Brazil,2433
2020-03-27T00:00:00Z,Brazil,2433
2020-03-28T00:00:00Z,Brazil,2915
2020-03-29T00:00:00Z,Brazil,3417
2020-03-30T00:00:00Z,Brazil,3904
2020-03-31T00:00:00Z,Brazil,4256
2020-04-01T00:00:00Z,Brazil,4579
2020-04-02T00:00:00Z,Brazil,5717
2020-04-03T00:00:00Z,Brazil,6836
2020-04-04T00:00:00Z,Brazil,7910
2020-04-05T00:00:00Z,Brazil,9056
2020-04-06T00:00:00Z,Brazil,10278
2020-04-07T00:00:00Z,Brazil,11130
2020-04-08T00:00:00Z,Brazil,12056
2020-04-09T00:00:00Z,Brazil,13717
2020-04-10T00:00:00Z,Brazil,15927
2020-04-11T00:00:00Z,Brazil,17857
2020-04-12T00:00:00Z,Brazil,19638
2020-04-13T00:00:00Z,Brazil,20727
2020-04-14T00:00:00Z,Brazil,22169
2020-04-15T00:00:00Z,Brazil,23430
2020-04-16T00:00:00Z,Brazil,25262
2020-04-17T00:00:00Z,Brazil,28320
2020-04-18T00:00:00Z,Brazil,30425
2020-04-19T00:00:00Z,Brazil,33682
2020-04-20T00:00:00Z,Brazil,36599
2020-04-21T00:00:00Z,Brazil,38654
2020-04-22T00:00:00Z,Brazil,40581
2020-04-23T00:00:00Z,Brazil,43079
2020-04-24T00:00:00Z,Brazil,45757
2020-04-25T00:00:00Z,Brazil,49492
2020-04-26T00:00:00Z,Brazil,52995
2020-04-27T00:00:00Z,Brazil,58509
2020-04-28T00:00:00Z,Brazil,61888
2020-04-29T00:00:00Z,Brazil,66501
2020-04-30T00:00:00Z,Brazil,71886
2020-05-01T00:00:00Z,Brazil,78162
2020-05-02T00:00:00Z,Brazil,85380
2020-05-03T00:00:00Z,Brazil,91589
2020-05-04T00:00:00Z,Brazil,96559
2020-05-05T00:00:00Z,Brazil,101147
2020-05-06T00:00:00Z,Brazil,107780
2020-05-07T00:00:00Z,Brazil,114715
2020-05-08T00:00:00Z,Brazil,125218
2020-05-09T00:00:00Z,Brazil,135106
2020-05-10T00:00:00Z,Brazil,145328
2020-05-11T00:00:00Z,Brazil,155939
2020-05-12T00:00:00Z,Brazil,162699
2020-05-13T00:00:00Z,Brazil,168331
2020-05-14T00:00:00Z,Brazil,177589
2020-05-15T00:00:00Z,Brazil,188974
2020-05-16T00:00:00Z,Brazil,202918
2020-05-17T00:00:00Z,Brazil,218223
2020-05-18T00:00:00Z,Brazil,233142
2020-05-19T00:00:00Z,Brazil,241080
2020-05-20T00:00:00Z,Brazil,254220
2020-05-21T00:00:00Z,Brazil,271628
2020-05-22T00:00:00Z,Brazil,291579
2020-05-23T00:00:00Z,Brazil,310087
2020-05-24T00:00:00Z,Brazil,330890
2020-05-25T00:00:00Z,Brazil,347398
2020-05-26T00:00:00Z,Brazil,363211
2020-05-27T00:00:00Z,Brazil,374898
2020-05-28T00:00:00Z,Brazil,391222
2020-05-29T00:00:00Z,Brazil,411821
2020-05-30T00:00:00Z,Brazil,438238
2020-05-31T00:00:00Z,Brazil,465166
2020-06-01T00:00:00Z,Brazil,498440
2020-06-02T00:00:00Z,Brazil,514849
2020-06-03T00:00:00Z,Brazil,526447
2020-06-04T00:00:00Z,Brazil,555383
2020-06-05T00:00:00Z,Brazil,584016
2020-06-06T00:00:00Z,Brazil,614941
2020-06-07T00:00:00Z,Brazil,645771
2020-06-08T00:00:00Z,Brazil,672846
